day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)
138	145.75	137.95340669031484	153.54659330968516	0.05349292150727384	269.75	158.84050872045594	380.65949127954406	0.4111565941781059	9584.5	9469.329759768361	9699.670240231639	0.012016301344007411
139	145.5	137.6450219201673	153.3549780798327	0.053986103641461974	250.25	147.75102667820352	352.7489733217965	0.4095863069802057	9604.25	9497.53072999814	9710.96927000186	0.01111167139566972
140	145.25	137.43467610882342	153.06532389117658	0.053806016462489364	234.0	138.88788715406903	329.11211284593094	0.4064620207091067	9620.75	9521.530118716077	9719.969881283923	0.010313112936509477
141	144.75	137.00043120436968	152.49956879563032	0.053537608259967756	218.625	130.70306093708268	306.5469390629173	0.4021586692414743	9636.625	9544.98993234693	9728.26006765307	0.009509041563106219
142	144.0	136.79551521565742	151.20448478434258	0.05003114433571237	202.75	120.88191925980668	284.6180807401933	0.40378831437826546	9653.25	9568.391534105045	9738.108465894955	0.00879066282287885
143	142.75	135.7749426302822	149.7250573697178	0.04886204812411766	189.625	112.51142392134562	266.7385760786544	0.4066635521616579	9667.625	9588.265105840199	9746.984894159801	0.008208830416963913
144	142.0	135.00140027333012	148.99859972666988	0.04928591356809767	175.5	104.62961933336936	246.37038066663064	0.40381983285829426	9682.5	9609.507550829929	9755.492449170071	0.007538595318365159
145	141.5	134.3056695332964	148.6943304667036	0.05084332485302904	164.0	98.13275781136994	229.86724218863006	0.4016295255404272	9694.5	9626.727989157105	9762.272010842895	0.006990769079673551
146	140.875	133.6256270257062	148.1243729742938	0.05145961294973427	153.75	91.9072285068786	215.5927714931214	0.40222940808534247	9705.375	9642.091250841826	9768.658749158174	0.006520484696178616
147	140.25	132.92725664821504	147.57274335178496	0.05221207380951847	143.625	85.36598235168532	201.88401764831468	0.4056328469856549	9716.125	9656.411594964282	9775.838405035718	0.006145804529657552
148	139.5	132.04615169191618	146.95384830808382	0.05343260435902381	133.5	79.60962902340064	187.39037097659934	0.4036731908359502	9727.0	9671.965982098212	9782.034017901788	0.005657861406578351
149	139.25	131.7011323033952	146.7988676966048	0.05421089907795174	125.25	74.69011867463175	175.80988132536825	0.4036717071885688	9735.5	9683.831334316374	9787.168665683626	0.005307243149671448
150	138.625	130.86423708235898	146.38576291764102	0.05598386234547181	116.75	68.01451773491073	165.48548226508927	0.4174345376024778	9744.625	9695.075513679676	9794.174486320324	0.005084801756899163
151	138.375	130.77606134903013	145.97393865096987	0.054915545806467056	109.5	62.7563973659084	156.2436026340916	0.42688221583645297	9752.125	9704.588259077065	9799.661740922935	0.004874500780387354
152	137.625	129.82664878717506	145.42335121282494	0.05666376903051726	100.0	58.54102691636913	141.45897308363087	0.41458973083630873	9762.375	9720.296553000622	9804.453446999378	0.0043102674297368325
153	137.375	129.52060361958524	145.22939638041476	0.057174859912027254	93.25	55.07427263684034	131.42572736315967	0.40939117815720816	9769.375	9730.489319244149	9808.260680755851	0.003980365249143599
154	137.25	129.32322201344056	145.17677798655944	0.05775430227001424	87.75	51.966318162483	123.53368183751701	0.4077912460115898	9775.0	9738.49175887798	9811.50824112202	0.003734858426804959
155	136.75	128.93467610882342	144.56532389117658	0.05715044892999327	80.0	47.34111149817163	112.65888850182837	0.40823610627285467	9783.25	9750.195622813088	9816.304377186912	0.0033786703996026507
156	136.375	128.62366263667047	144.12633736332953	0.05683840413073887	73.625	44.06091535648304	103.18908464351696	0.40154953675405036	9790.0	9760.028094441719	9819.971905558281	0.0030614816709174423
157	136.25	128.40666410543017	144.09333589456983	0.05756576803354002	67.875	41.19513968568003	94.55486031431997	0.393073448461436	9795.875	9768.736015850363	9823.013984149637	0.002770450230289437
